Korean,English
내가,I
난,I
내,my
수,Number
이,this
거야,Will
있어,there is
그리고,And
우리,Us
다,all
무슨,what
한,one
하지만,However
잘,well
할,will do
그럼,then
것,thing
게,crab
있는,there is
날,me
우리가,we
전,jeon
이제,now
지금,now
그게,that
걸,girl
거,thing
아니,no
네가,you
돼,Set
저,I
우린,we
못,pond
좋아,great
당신이,You
그런,then
그건,that
너무,Too
그래서,therefore
다시,again
나도,me too
당신,you
거예요,Will
당신은,you are
아,ah
좋은,good
오,Five
때,at the time
너,you
하고,do
아냐,no
나는,I am
아니야,no
알아,Know
같이,together
응,yes
이게,this
없어요,do not have
괜찮아,it's okay
오늘,today
말이야,It's a.
또,In addition
누가,Who
어떤,what
아주,very
말,word
아직,yet
안돼,no
진짜,really
모두,all
마,mind
어서,hurry
위해,for
해요,do
엄마,Mom
근데,however
이거,this
전에,before
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,Going
알았어,okay
않아,Not
그가,he
안녕,hi
좋아요,like
그래요,okay
당신을,you
자,ruler
아니에요,no
있을,There will be
때문에,Because
대해,about
몇,some
사람,Person
많이,A lot of
